"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Vierhuizen";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Vierlingsbeek";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vierpolders";"Brielle                            ";"Zuid-Holland             ";"West-Nederland           "
"Vijfhuizen";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Vijlen";"Vaals                              ";"Limburg                  ";"Zuid-Nederland           "
"Vilsteren";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Vinkega";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Vinkel";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vinkel";"'s-Hertogenbosch                   ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vinkenbuurt";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Vinkeveen";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Visvliet";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Vlaardingen";"Vlaardingen                        ";"Zuid-Holland             ";"West-Nederland           "
"Vlagtwedde";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Vledder";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Vledderveen";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Vledderveen";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Vleuten";"Utrecht                            ";"Utrecht                  ";"West-Nederland           "
"Vlieland";"Vlieland                           ";"Friesland                ";"Noord-Nederland          "
"Vlierden";"Deurne                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vlijmen";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vlissingen";"Vlissingen                         ";"Zeeland                  ";"West-Nederland           "
"Vlist";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Vlodrop";"Roerdalen                          ";"Limburg                  ";"Zuid-Nederland           "
"Voerendaal";"Voerendaal                         ";"Limburg                  ";"Zuid-Nederland           "
"Vogelenzang";"Bloemendaal                        ";"Noord-Holland            ";"West-Nederland           "
"Vogelwaarde";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Volendam";"Edam-Volendam                      ";"Noord-Holland            ";"West-Nederland           "
"Volkel";"Uden                               ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vollenhove";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Vondelingenplaat Rotterdam";"Rotterdam                          ";"Zuid-Holland             ";"West-Nederland           "
"Voorburg";"Leidschendam-Voorburg              ";"Zuid-Holland             ";"West-Nederland           "
"Voorhout";"Teylingen                          ";"Zuid-Holland             ";"West-Nederland           "
"Voorschoten";"Voorschoten                        ";"Zuid-Holland             ";"West-Nederland           "
"Voorst";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Voorst";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Voorthuizen";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Vorchten";"Heerde                             ";"Gelderland               ";"Oost-Nederland           "
"Vorden";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Vorstenbosch";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vortum-Mullem";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vragender";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Vredenheim";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Vredepeel";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Vreeland";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Vries";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Vriescheloo";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Vriezenveen";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Vroomshoop";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Vrouwenakker";"Nieuwkoop                          ";"Zuid-Holland             ";"West-Nederland           "
"Vrouwenparochie";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Vrouwenpolder";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Vught";"Vught                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vuren";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Waaksens";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Waal";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"De Waal";"Texel                              ";"Noord-Holland            ";"West-Nederland           "
"Waalre";"Waalre                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Waalwijk";"Waalwijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"'t Waar";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Waarde";"Reimerswaal                        ";"Zeeland                  ";"West-Nederland           "
"Waardenburg";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Waarder";"Bodegraven-Reeuwijk                ";"Zuid-Holland             ";"West-Nederland           "
"Waardhuizen";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Waarland";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Waaxens";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Wachtum";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Waddinxveen";"Waddinxveen                        ";"Zuid-Holland             ";"West-Nederland           "
"Wadenoijen";"Tiel                               ";"Gelderland               ";"Oost-Nederland           "
"Wagenberg";"Drimmelen                          ";"Noord-Brabant            ";"Zuid-Nederland           "
"Wagenborgen";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Wageningen";"Wageningen                         ";"Gelderland               ";"Oost-Nederland           "
"Walem";"Valkenburg aan de Geul             ";"Limburg                  ";"Zuid-Nederland           "
"Walsoorden";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Wâlterswâld";"Dantumadiel                        ";"Friesland                ";"Noord-Nederland          "
"Wamel";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Wanneperveen";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Wanroij";"Sint Anthonis                      ";"Noord-Brabant            ";"Zuid-Nederland           "
